1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,2
02/01/2020,2
02/02/2020,2
02/03/2020,2
02/04/2020,2
02/05/2020,2
02/06/2020,2
02/07/2020,3
02/08/2020,3
02/09/2020,3
02/10/2020,8
02/11/2020,8
02/12/2020,9
2/13/20,9
2/14/20,9
2/15/20,9
2/16/20,9
2/17/20,9
2/18/20,9
2/19/20,9
2/20/20,9
2/21/20,9
2/22/20,9
2/23/20,9
2/24/20,13
2/25/20,13
2/26/20,13
2/27/20,15
2/28/20,20
2/29/20,23
03/01/2020,36
03/02/2020,40
03/03/2020,51
03/04/2020,85
03/05/2020,115
03/06/2020,163
03/07/2020,206
03/08/2020,273
03/09/2020,321
03/10/2020,382
03/11/2020,456
03/12/2020,456
3/13/20,798
3/14/20,1140
3/15/20,1140
3/16/20,1543
3/17/20,1950
3/18/20,2626
3/19/20,2689
3/20/20,3983
3/21/20,5018
3/22/20,5683
3/23/20,6650
3/24/20,8077
3/25/20,9529
3/26/20,11658
3/27/20,14543
3/28/20,17089
3/29/20,19522
3/30/20,22141
3/31/20,25150
04/01/2020,29474
04/02/2020,33718
04/03/2020,38168
04/04/2020,41903
04/05/2020,47806
04/06/2020,51608
04/07/2020,55242
04/08/2020,60733
04/09/2020,65077
04/10/2020,73758
04/11/2020,78991
04/12/2020,84279
4/13/20,88621
